MandarinPhone,IPA,Alveolar,Alveopalatal,Retroflex,Plosive,Vowel,Labiodental,Bilabial,Approximant,Glottal,Fricative,Velar,Nasal,Affricates
AA,ɑ,0,0,0,0,1,0,0,0,0,0,0,0,0
AE,æ,0,0,0,0,1,0,0,0,0,0,0,0,0
AH,ʌ,0,0,0,0,1,0,0,0,0,0,0,0,0
AO,ɔ,0,0,0,0,1,0,0,0,0,0,0,0,0
AW,aʊ,0,0,0,0,1,0,0,0,0,0,0,0,0
AY,aɪ,0,0,0,0,1,0,0,0,0,0,0,0,0
B,p,0,0,0,1,0,0,1,0,0,0,0,0,0
CH,ʈʂʰ,0,0,1,0,0,0,0,0,0,0,0,0,1
D,t,1,0,0,1,0,0,0,0,0,0,0,0,0
EH,ɛ,0,0,0,0,1,0,0,0,0,0,0,0,0
ER,ɝ,0,0,0,0,1,0,0,0,0,0,0,0,0
EY,eɪ,0,0,0,0,1,0,0,0,0,0,0,0,0
F,f,0,0,0,0,0,1,0,0,0,1,0,0,0
G,k,0,0,0,1,0,0,0,0,0,0,1,0,0
HH,x,0,0,0,0,0,0,0,0,1,1,0,0,0
IY,i,1,0,0,0,0,0,0,0,0,0,0,0,0
J,tɕ,0,1,0,0,0,0,0,0,0,0,0,0,1
JH,ʈʂ,0,1,0,0,0,0,0,0,0,0,0,0,1
K,kʰ,0,0,0,1,0,0,0,0,0,0,1,0,0
L,l,1,0,0,0,0,0,0,1,0,0,0,0,0
M,m,0,0,0,0,0,0,1,0,0,0,0,1,0
N,n,1,0,0,0,0,0,0,0,0,0,0,1,0
NG,ŋ,0,0,0,0,0,0,0,0,0,0,1,1,0
OW,oʊ,0,0,0,1,0,0,0,0,0,0,0,0,0
P,pʰ,0,0,0,1,0,0,1,0,0,0,0,0,0
Q,tɕʰ,0,1,0,0,0,0,0,0,0,1,0,0,0
R,ʐ,0,0,1,0,0,0,0,1,0,0,0,0,0
S,s,1,0,0,0,0,0,0,0,0,1,0,0,0
SH,ʂ,0,0,1,0,0,0,0,0,0,1,0,0,0
T,tʰ,1,0,0,1,0,0,0,0,0,0,0,0,0
UH,uh,1,0,0,0,0,0,0,0,0,0,0,0,0
UW,y,1,0,0,0,0,0,0,0,0,0,0,0,0
W,w,0,0,0,0,0,0,1,1,0,0,0,0,0
X,ɕ,0,1,0,0,0,0,0,0,0,1,0,0,0
Y,j,0,0,0,0,1,0,0,0,0,0,0,0,0
Z,ts,1,0,0,0,0,0,0,0,0,0,0,0,1
